Sample_Date,site,Ions,Concentration
1989-05-16,MPR,NH4N,NA
1989-05-16,MPR,NO3N,59.625
1989-05-16,MPR,Ca,6.483333333333333
1989-05-16,MPR,K,0.6855555555555556
1989-05-16,MPR,Mg,1.96
1989-07-18,MPR,NH4N,NA
1989-07-18,MPR,NO3N,73.71428571428571
1989-07-18,MPR,Ca,6.252857142857143
1989-07-18,MPR,K,0.6614285714285714
1989-07-18,MPR,Mg,1.5783333333333334
1989-09-19,MPR,NH4N,NA
1989-09-19,MPR,NO3N,273.8
1989-09-19,MPR,Ca,6.906
1989-09-19,MPR,K,1.21
1989-09-19,MPR,Mg,2.194
1989-11-21,MPR,NH4N,NA
1989-11-21,MPR,NO3N,112.71428571428571
1989-11-21,MPR,Ca,9.21857142857143
1989-11-21,MPR,K,0.8825000000000001
1989-11-21,MPR,Mg,2.572857142857143
1990-01-23,MPR,NH4N,NA
1990-01-23,MPR,NO3N,209.22222222222223
1990-01-23,MPR,Ca,8.71
1990-01-23,MPR,K,1.0688888888888888
1990-01-23,MPR,Mg,2.106666666666667
1990-03-27,MPR,NH4N,NA
1990-03-27,MPR,NO3N,143.33333333333334
1990-03-27,MPR,Ca,9.083333333333334
1990-03-27,MPR,K,1.0077777777777777
1990-03-27,MPR,Mg,2.152222222222222
1990-05-29,MPR,NH4N,NA
1990-05-29,MPR,NO3N,187
1990-05-29,MPR,Ca,8.342222222222222
1990-05-29,MPR,K,0.9544444444444444
1990-05-29,MPR,Mg,2.002222222222222
1990-07-31,MPR,NH4N,NA
1990-07-31,MPR,NO3N,131.88888888888889
1990-07-31,MPR,Ca,9.635555555555555
1990-07-31,MPR,K,0.8522222222222222
1990-07-31,MPR,Mg,2.1422222222222222
1990-10-02,MPR,NH4N,NA
1990-10-02,MPR,NO3N,126.125
1990-10-02,MPR,Ca,7.89
1990-10-02,MPR,K,0.77
1990-10-02,MPR,Mg,1.9877777777777779
1990-12-04,MPR,NH4N,NA
1990-12-04,MPR,NO3N,136.75
1990-12-04,MPR,Ca,6.934444444444445
1990-12-04,MPR,K,0.6533333333333333
1990-12-04,MPR,Mg,2.1144444444444446
1991-02-05,MPR,NH4N,NA
1991-02-05,MPR,NO3N,121.625
1991-02-05,MPR,Ca,7.41875
1991-02-05,MPR,K,0.8922222222222222
1991-02-05,MPR,Mg,1.9511111111111112
1991-04-09,MPR,NH4N,NA
1991-04-09,MPR,NO3N,50.25
1991-04-09,MPR,Ca,4.635
1991-04-09,MPR,K,0.77
1991-04-09,MPR,Mg,0.9285714285714285
1991-06-11,MPR,NH4N,NA
1991-06-11,MPR,NO3N,58.33333333333333
1991-06-11,MPR,Ca,5.595714285714285
1991-06-11,MPR,K,0.7728571428571429
1991-06-11,MPR,Mg,1.61625
1991-08-13,MPR,NH4N,NA
1991-08-13,MPR,NO3N,80.42857142857143
1991-08-13,MPR,Ca,9.283333333333333
1991-08-13,MPR,K,0.8411111111111111
1991-08-13,MPR,Mg,2.61
1991-10-15,MPR,NH4N,NA
1991-10-15,MPR,NO3N,118.88888888888889
1991-10-15,MPR,Ca,6.5337499999999995
1991-10-15,MPR,K,0.72125
1991-10-15,MPR,Mg,1.975
1991-12-17,MPR,NH4N,NA
1991-12-17,MPR,NO3N,128.11111111111111
1991-12-17,MPR,Ca,8.153333333333332
1991-12-17,MPR,K,0.7444444444444445
1991-12-17,MPR,Mg,1.9277777777777778
1992-02-18,MPR,NH4N,NA
1992-02-18,MPR,NO3N,108.375
1992-02-18,MPR,Ca,9.7325
1992-02-18,MPR,K,0.9533333333333334
1992-02-18,MPR,Mg,2.8133333333333335
1992-04-21,MPR,NH4N,NA
1992-04-21,MPR,NO3N,54.375
1992-04-21,MPR,Ca,7.38
1992-04-21,MPR,K,0.8288888888888889
1992-04-21,MPR,Mg,1.8177777777777777
1992-06-23,MPR,NH4N,NA
1992-06-23,MPR,NO3N,38.111111111111114
1992-06-23,MPR,Ca,8.1466666666666665
1992-06-23,MPR,K,0.7744444444444444
1992-06-23,MPR,Mg,2.088888888888889
1992-08-25,MPR,NH4N,NA
1992-08-25,MPR,NO3N,52.55555555555556
1992-08-25,MPR,Ca,9.634444444444444
1992-08-25,MPR,K,0.8466666666666667
1992-08-25,MPR,Mg,2.39
1992-10-27,MPR,NH4N,NA
1992-10-27,MPR,NO3N,33.57142857142857
1992-10-27,MPR,Ca,7.395
1992-10-27,MPR,K,0.70625
1992-10-27,MPR,Mg,1.77125
1992-12-29,MPR,NH4N,NA
1992-12-29,MPR,NO3N,NA
1992-12-29,MPR,Ca,7.552222222222222
1992-12-29,MPR,K,0.7255555555555555
1992-12-29,MPR,Mg,1.9188888888888889
1993-03-02,MPR,NH4N,NA
1993-03-02,MPR,NO3N,81.33333333333333
1993-03-02,MPR,Ca,9.314444444444444
1993-03-02,MPR,K,0.8055555555555556
1993-03-02,MPR,Mg,2.371111111111111
1993-05-04,MPR,NH4N,NA
1993-05-04,MPR,NO3N,42
1993-05-04,MPR,Ca,7.9944444444444445
1993-05-04,MPR,K,0.8555555555555555
1993-05-04,MPR,Mg,1.9933333333333334
1993-07-06,MPR,NH4N,NA
1993-07-06,MPR,NO3N,63
1993-07-06,MPR,Ca,8.5875
1993-07-06,MPR,K,0.7675
1993-07-06,MPR,Mg,2.01
1993-09-07,MPR,NH4N,NA
1993-09-07,MPR,NO3N,49.111111111111114
1993-09-07,MPR,Ca,8.001111111111111
1993-09-07,MPR,K,0.7211111111111111
1993-09-07,MPR,Mg,1.9766666666666666
1993-11-09,MPR,NH4N,NA
1993-11-09,MPR,NO3N,28.833333333333332
1993-11-09,MPR,Ca,7.39625
1993-11-09,MPR,K,0.6577777777777778
1993-11-09,MPR,Mg,1.6811111111111112
1994-01-11,MPR,NH4N,NA
1994-01-11,MPR,NO3N,6.333333333333333
1994-01-11,MPR,Ca,6.863333333333333
1994-01-11,MPR,K,0.5700000000000001
1994-01-11,MPR,Mg,1.6344444444444444
1994-03-15,MPR,NH4N,NA
1994-03-15,MPR,NO3N,18.5
1994-03-15,MPR,Ca,9.652222222222223
1994-03-15,MPR,K,0.7277777777777777
1994-03-15,MPR,Mg,2.2044444444444444
1994-05-17,MPR,NH4N,NA
1994-05-17,MPR,NO3N,19.625
1994-05-17,MPR,Ca,8.848888888888888
1994-05-17,MPR,K,0.8633333333333333
1994-05-17,MPR,Mg,2.3433333333333333
1994-07-19,MPR,NH4N,NA
1994-07-19,MPR,NO3N,119
1994-07-19,MPR,Ca,9.666666666666666
1994-07-19,MPR,K,0.8666666666666667
1994-07-19,MPR,Mg,2.5
1994-09-20,MPR,NH4N,NA
1994-09-20,MPR,NO3N,NA
1994-09-20,MPR,Ca,8.686666666666667
1994-09-20,MPR,K,0.7844444444444444
1994-09-20,MPR,Mg,1.8944444444444444
1994-11-22,MPR,NH4N,NA
1994-11-22,MPR,NO3N,43
1994-11-22,MPR,Ca,7.808333333333334
1994-11-22,MPR,K,0.7066666666666667
1994-11-22,MPR,Mg,2.18
1988-01-05,Q1,NH4N,27.533333333333335
1988-01-05,Q1,NO3N,155.06666666666666
1988-01-05,Q1,Ca,3.42
1988-01-05,Q1,K,0.8066666666666666
1988-01-05,Q1,Mg,2.1926666666666668
1988-03-08,Q1,NH4N,22.125
1988-03-08,Q1,NO3N,207.8125
1988-03-08,Q1,Ca,3.084375
1988-03-08,Q1,K,0.89
1988-03-08,Q1,Mg,1.976875
1988-05-10,Q1,NH4N,90.625
1988-05-10,Q1,NO3N,157.5
1988-05-10,Q1,Ca,2.9850000000000003
1988-05-10,Q1,K,0.8811111111111111
1988-05-10,Q1,Mg,2.183
1988-07-12,Q1,NH4N,15.5
1988-07-12,Q1,NO3N,63
1988-07-12,Q1,Ca,2.686923076923077
1988-07-12,Q1,K,0.7607692307692308
1988-07-12,Q1,Mg,1.9523076923076923
1988-09-13,Q1,NH4N,50.25
1988-09-13,Q1,NO3N,140.55555555555554
1988-09-13,Q1,Ca,3.665
1988-09-13,Q1,K,0.7925
1988-09-13,Q1,Mg,2.43875
1988-11-15,Q1,NH4N,NA
1988-11-15,Q1,NO3N,153.625
1988-11-15,Q1,Ca,4.15125
1988-11-15,Q1,K,0.8444444444444444
1988-11-15,Q1,Mg,2.3722222222222222
1989-01-17,Q1,NH4N,NA
1989-01-17,Q1,NO3N,130.11111111111111
1989-01-17,Q1,Ca,4.293333333333333
1989-01-17,Q1,K,0.9088888888888889
1989-01-17,Q1,Mg,2.783333333333333
1989-03-21,Q1,NH4N,NA
1989-03-21,Q1,NO3N,141.88888888888889
1989-03-21,Q1,Ca,4.444444444444445
1989-03-21,Q1,K,0.8544444444444445
1989-03-21,Q1,Mg,2.738888888888889
1989-05-23,Q1,NH4N,NA
1989-05-23,Q1,NO3N,123
1989-05-23,Q1,Ca,4.5344444444444445
1989-05-23,Q1,K,0.9477777777777777
1989-05-23,Q1,Mg,2.901111111111111
1989-07-25,Q1,NH4N,NA
1989-07-25,Q1,NO3N,88.375
1989-07-25,Q1,Ca,4.042222222222222
1989-07-25,Q1,K,0.9344444444444444
1989-07-25,Q1,Mg,2.6466666666666665
1989-09-26,Q1,NH4N,NA
1989-09-26,Q1,NO3N,415.7142857142857
1989-09-26,Q1,Ca,4.2290909090909095
1989-09-26,Q1,K,1.3208333333333333
1989-09-26,Q1,Mg,3.0154545454545456
1989-11-28,Q1,NH4N,NA
1989-11-28,Q1,NO3N,99
1989-11-28,Q1,Ca,5.8566666666666665
1989-11-28,Q1,K,1.1466666666666667
1989-11-28,Q1,Mg,3.2266666666666666
1990-01-30,Q1,NH4N,NA
1990-01-30,Q1,NO3N,211.375
1990-01-30,Q1,Ca,5.546666666666667
1990-01-30,Q1,K,1.2344444444444445
1990-01-30,Q1,Mg,3.1666666666666665
1990-04-03,Q1,NH4N,NA
1990-04-03,Q1,NO3N,450.30769230769226
1990-04-03,Q1,Ca,4.312857142857143
1990-04-03,Q1,K,1.3628571428571428
1990-04-03,Q1,Mg,2.5492857142857144
1990-06-05,Q1,NH4N,NA
1990-06-05,Q1,NO3N,143.77777777777777
1990-06-05,Q1,Ca,5.4944444444444445
1990-06-05,Q1,K,1.1555555555555554
1990-06-05,Q1,Mg,3.2333333333333334
1990-08-07,Q1,NH4N,NA
1990-08-07,Q1,NO3N,80.83333333333334
1990-08-07,Q1,Ca,5.841111111111111
1990-08-07,Q1,K,0.8844444444444445
1990-08-07,Q1,Mg,3.2688888888888887
1990-10-09,Q1,NH4N,NA
1990-10-09,Q1,NO3N,108.5
1990-10-09,Q1,Ca,4.603
1990-10-09,Q1,K,1.007
1990-10-09,Q1,Mg,2.832
1990-12-11,Q1,NH4N,NA
1990-12-11,Q1,NO3N,155.375
1990-12-11,Q1,Ca,5.297
1990-12-11,Q1,K,0.983
1990-12-11,Q1,Mg,2.988
1991-02-12,Q1,NH4N,NA
1991-02-12,Q1,NO3N,65.9
1991-02-12,Q1,Ca,5.656
1991-02-12,Q1,K,0.8210000000000001
1991-02-12,Q1,Mg,3.145
1991-04-16,Q1,NH4N,NA
1991-04-16,Q1,NO3N,46.375
1991-04-16,Q1,Ca,5.167777777777777
1991-04-16,Q1,K,0.9255555555555556
1991-04-16,Q1,Mg,2.9477777777777776
1991-06-18,Q1,NH4N,NA
1991-06-18,Q1,NO3N,32.42857142857143
1991-06-18,Q1,Ca,5.622222222222223
1991-06-18,Q1,K,0.7644444444444445
1991-06-18,Q1,Mg,3.3777777777777778
1991-08-20,Q1,NH4N,NA
1991-08-20,Q1,NO3N,63.5
1991-08-20,Q1,Ca,5.84
1991-08-20,Q1,K,1.165
1991-08-20,Q1,Mg,3.614
1991-10-22,Q1,NH4N,NA
1991-10-22,Q1,NO3N,121.6923076923077
1991-10-22,Q1,Ca,4.274615384615385
1991-10-22,Q1,K,1.1407692307692308
1991-10-22,Q1,Mg,2.716153846153846
1991-12-24,Q1,NH4N,NA
1991-12-24,Q1,NO3N,187.125
1991-12-24,Q1,Ca,4.971111111111111
1991-12-24,Q1,K,1.24
1991-12-24,Q1,Mg,2.9955555555555557
1992-02-25,Q1,NH4N,NA
1992-02-25,Q1,NO3N,79.75
1992-02-25,Q1,Ca,6.308888888888889
1992-02-25,Q1,K,1.1111111111111112
1992-02-25,Q1,Mg,3.578888888888889
1992-04-28,Q1,NH4N,NA
1992-04-28,Q1,NO3N,57.125
1992-04-28,Q1,Ca,4.303333333333334
1992-04-28,Q1,K,1.031111111111111
1992-04-28,Q1,Mg,2.59
1992-06-30,Q1,NH4N,NA
1992-06-30,Q1,NO3N,140.625
1992-06-30,Q1,Ca,5.6066666666666665
1992-06-30,Q1,K,1.1466666666666667
1992-06-30,Q1,Mg,3.2455555555555557
1992-09-01,Q1,NH4N,NA
1992-09-01,Q1,NO3N,67.71428571428571
1992-09-01,Q1,Ca,6.2
1992-09-01,Q1,K,1.0655555555555556
1992-09-01,Q1,Mg,3.517777777777778
1992-11-03,Q1,NH4N,NA
1992-11-03,Q1,NO3N,33
1992-11-03,Q1,Ca,4.543333333333333
1992-11-03,Q1,K,0.9622222222222222
1992-11-03,Q1,Mg,2.4955555555555557
1993-01-05,Q1,NH4N,NA
1993-01-05,Q1,NO3N,20
1993-01-05,Q1,Ca,4.975555555555555
1993-01-05,Q1,K,1.1344444444444444
1993-01-05,Q1,Mg,3.181111111111111
1993-03-09,Q1,NH4N,NA
1993-03-09,Q1,NO3N,137.11111111111111
1993-03-09,Q1,Ca,5.795555555555556
1993-03-09,Q1,K,1.1744444444444444
1993-03-09,Q1,Mg,3.671111111111111
1993-05-11,Q1,NH4N,NA
1993-05-11,Q1,NO3N,28.333333333333332
1993-05-11,Q1,Ca,5.611111111111111
1993-05-11,Q1,K,1.1577777777777778
1993-05-11,Q1,Mg,3.2222222222222223
1993-07-13,Q1,NH4N,NA
1993-07-13,Q1,NO3N,44.6
1993-07-13,Q1,Ca,5.467777777777778
1993-07-13,Q1,K,1.0033333333333334
1993-07-13,Q1,Mg,3.013333333333333
1993-09-14,Q1,NH4N,NA
1993-09-14,Q1,NO3N,28.333333333333332
1993-09-14,Q1,Ca,5.921111111111111
1993-09-14,Q1,K,1.1211111111111112
1993-09-14,Q1,Mg,3.3266666666666667
1993-11-16,Q1,NH4N,NA
1993-11-16,Q1,NO3N,22.166666666666668
1993-11-16,Q1,Ca,5.688888888888889
1993-11-16,Q1,K,1.18
1993-11-16,Q1,Mg,3.1688888888888886
1994-01-18,Q1,NH4N,NA
1994-01-18,Q1,NO3N,13.5
1994-01-18,Q1,Ca,5.302222222222222
1994-01-18,Q1,K,1.0055555555555555
1994-01-18,Q1,Mg,2.951111111111111
1994-03-22,Q1,NH4N,NA
1994-03-22,Q1,NO3N,65.66666666666667
1994-03-22,Q1,Ca,6.14
1994-03-22,Q1,K,1.051111111111111
